2026-06-16 15:16:40, tokens_remaining: 1717, call: scores, phase: playing
2026-06-16 15:16:42, tokens_remaining: 1716, call: scores, phase: playing
2026-06-16 15:16:43, tokens_remaining: 1715, call: scores, phase: playing
2026-06-16 15:16:44, tokens_remaining: 1714, call: scores, phase: playing
2026-06-16 15:16:46, tokens_remaining: 1713, call: scores, phase: playing
2026-06-16 15:16:47, tokens_remaining: 1712, call: scores, phase: playing
2026-06-16 15:16:48, tokens_remaining: 1711, call: scores, phase: playing
2026-06-16 15:16:49, tokens_remaining: 1710, call: events, phase: playing
2026-06-16 15:16:51, tokens_remaining: 1709, call: scores, phase: playing
2026-06-16 15:16:52, tokens_remaining: 1708, call: scores, phase: playing
2026-06-16 15:16:53, tokens_remaining: 1707, call: scores, phase: playing
2026-06-16 15:16:54, tokens_remaining: 1706, call: scores, phase: playing
2026-06-16 15:16:56, tokens_remaining: 1705, call: scores, phase: playing
2026-06-16 15:16:57, tokens_remaining: 1704, call: scores, phase: playing
2026-06-16 15:16:58, tokens_remaining: 1703, call: scores, phase: playing
2026-06-16 15:17:00, tokens_remaining: 1702, call: scores, phase: playing
2026-06-16 15:17:01, tokens_remaining: 1701, call: scores, phase: playing
2026-06-16 15:17:02, tokens_remaining: 1700, call: events, phase: playing
2026-06-16 15:17:03, tokens_remaining: 1699, call: scores, phase: playing
2026-06-16 15:17:05, tokens_remaining: 1698, call: scores, phase: playing
2026-06-16 15:17:06, tokens_remaining: 1697, call: scores, phase: playing
2026-06-16 15:17:07, tokens_remaining: 1696, call: scores, phase: playing
2026-06-16 15:17:08, tokens_remaining: 1695, call: scores, phase: playing
2026-06-16 15:17:10, tokens_remaining: 1694, call: scores, phase: playing
2026-06-16 15:17:11, tokens_remaining: 1693, call: scores, phase: playing
2026-06-16 15:17:12, tokens_remaining: 1692, call: scores, phase: playing
2026-06-16 15:17:13, tokens_remaining: 1691, call: scores, phase: playing
2026-06-16 15:17:15, tokens_remaining: 1690, call: events, phase: playing
2026-06-16 15:17:16, tokens_remaining: 1689, call: scores, phase: playing
2026-06-16 15:17:17, tokens_remaining: 1688, call: scores, phase: playing
2026-06-16 15:17:19, tokens_remaining: 1687, call: scores, phase: playing
2026-06-16 15:17:20, tokens_remaining: 1686, call: scores, phase: playing
2026-06-16 15:17:21, tokens_remaining: 1685, call: scores, phase: playing
2026-06-16 15:17:22, tokens_remaining: 1684, call: scores, phase: playing
2026-06-16 15:17:24, tokens_remaining: 1683, call: scores, phase: playing
2026-06-16 15:17:25, tokens_remaining: 1682, call: scores, phase: playing
2026-06-16 15:17:26, tokens_remaining: 1681, call: scores, phase: playing
2026-06-16 15:17:27, tokens_remaining: 1680, call: events, phase: playing
2026-06-16 15:17:29, tokens_remaining: 1679, call: scores, phase: playing
2026-06-16 15:17:30, tokens_remaining: 1678, call: scores, phase: playing
2026-06-16 15:17:31, tokens_remaining: 1677, call: scores, phase: playing
2026-06-16 15:17:32, tokens_remaining: 1676, call: scores, phase: playing
2026-06-16 15:17:34, tokens_remaining: 1675, call: scores, phase: playing
2026-06-16 15:17:35, tokens_remaining: 1674, call: scores, phase: playing
